# Name of benchmark/experiment: FILLET Experiment 4 (CO₂ bifurcation)
# Case number: 18
# Branch: cooling
# Instellation (S_earth): 1.0
# XCO2 (ppm): 1456.3484775012444
# Obliquity (degrees): 23.5
# Mode: seasonal
#
# Columns of data (annually averaged for last orbit)
# Lat Tsurf Asurf ATOA OLR Fland
 -90.00   275.02 0.2250 0.2250   204.91 0.2500
 -77.83   278.37 0.2250 0.2250   211.61 0.2500
 -72.76   280.59 0.2250 0.2250   216.05 0.2500
 -68.84   282.57 0.2250 0.2250   220.01 0.2500
 -65.52   284.43 0.2250 0.2250   223.74 0.2500
 -62.58   286.21 0.2250 0.2250   227.30 0.2500
 -59.90   287.92 0.2250 0.2250   230.71 0.2500
 -57.43   289.56 0.2250 0.2250   233.99 0.2500
 -55.11   291.13 0.2250 0.2250   237.13 0.2500
 -52.92   292.64 0.2250 0.2250   240.15 0.2500
 -50.83   294.08 0.2250 0.2250   243.05 0.2500
 -48.83   295.47 0.2250 0.2250   245.82 0.2500
 -46.91   296.81 0.2250 0.2250   248.49 0.2500
 -45.06   298.09 0.2250 0.2250   251.05 0.2500
 -43.27   299.31 0.2250 0.2250   253.50 0.2500
 -41.52   300.49 0.2250 0.2250   255.85 0.2500
 -39.83   301.61 0.2250 0.2250   258.10 0.2500
 -38.17   302.69 0.2250 0.2250   260.25 0.2500
 -36.55   303.72 0.2250 0.2250   262.31 0.2500
 -34.96   304.70 0.2250 0.2250   264.28 0.2500
 -33.41   305.64 0.2250 0.2250   266.16 0.2500
 -31.88   306.54 0.2250 0.2250   267.95 0.2500
 -30.37   307.39 0.2250 0.2250   269.65 0.2500
 -28.89   308.20 0.2250 0.2250   271.27 0.2500
 -27.43   308.97 0.2250 0.2250   272.81 0.2500
 -25.99   309.69 0.2250 0.2250   274.27 0.2500
 -24.57   310.38 0.2250 0.2250   275.64 0.2500
 -23.16   311.03 0.2250 0.2250   276.94 0.2500
 -21.76   311.64 0.2250 0.2250   278.16 0.2500
 -20.38   312.21 0.2250 0.2250   279.30 0.2500
 -19.02   312.74 0.2250 0.2250   280.37 0.2500
 -17.66   313.24 0.2250 0.2250   281.36 0.2500
 -16.31   313.70 0.2250 0.2250   282.28 0.2500
 -14.98   314.12 0.2250 0.2250   283.12 0.2500
 -13.65   314.51 0.2250 0.2250   283.89 0.2500
 -12.33   314.86 0.2250 0.2250   284.60 0.2500
 -11.01   315.17 0.2250 0.2250   285.22 0.2500
  -9.70   315.45 0.2250 0.2250   285.78 0.2500
  -8.40   315.70 0.2250 0.2250   286.27 0.2500
  -7.10   315.90 0.2250 0.2250   286.69 0.2500
  -5.80   316.08 0.2250 0.2250   287.03 0.2500
  -4.51   316.22 0.2250 0.2250   287.31 0.2500
  -3.22   316.32 0.2250 0.2250   287.52 0.2500
  -1.93   316.39 0.2250 0.2250   287.66 0.2500
  -0.64   316.42 0.2250 0.2250   287.72 0.2500
   0.64   316.42 0.2250 0.2250   287.72 0.2500
   1.93   316.39 0.2250 0.2250   287.66 0.2500
   3.22   316.32 0.2250 0.2250   287.52 0.2500
   4.51   316.22 0.2250 0.2250   287.31 0.2500
   5.80   316.08 0.2250 0.2250   287.03 0.2500
   7.10   315.90 0.2250 0.2250   286.69 0.2500
   8.40   315.70 0.2250 0.2250   286.27 0.2500
   9.70   315.45 0.2250 0.2250   285.78 0.2500
  11.01   315.17 0.2250 0.2250   285.22 0.2500
  12.33   314.86 0.2250 0.2250   284.60 0.2500
  13.65   314.51 0.2250 0.2250   283.89 0.2500
  14.98   314.12 0.2250 0.2250   283.12 0.2500
  16.31   313.70 0.2250 0.2250   282.28 0.2500
  17.66   313.24 0.2250 0.2250   281.36 0.2500
  19.02   312.74 0.2250 0.2250   280.37 0.2500
  20.38   312.21 0.2250 0.2250   279.30 0.2500
  21.76   311.64 0.2250 0.2250   278.16 0.2500
  23.16   311.03 0.2250 0.2250   276.94 0.2500
  24.57   310.38 0.2250 0.2250   275.64 0.2500
  25.99   309.69 0.2250 0.2250   274.27 0.2500
  27.43   308.97 0.2250 0.2250   272.81 0.2500
  28.89   308.20 0.2250 0.2250   271.27 0.2500
  30.37   307.39 0.2250 0.2250   269.65 0.2500
  31.88   306.54 0.2250 0.2250   267.95 0.2500
  33.41   305.64 0.2250 0.2250   266.16 0.2500
  34.96   304.70 0.2250 0.2250   264.28 0.2500
  36.55   303.72 0.2250 0.2250   262.31 0.2500
  38.17   302.69 0.2250 0.2250   260.25 0.2500
  39.83   301.61 0.2250 0.2250   258.10 0.2500
  41.52   300.49 0.2250 0.2250   255.85 0.2500
  43.27   299.31 0.2250 0.2250   253.50 0.2500
  45.06   298.09 0.2250 0.2250   251.05 0.2500
  46.91   296.81 0.2250 0.2250   248.49 0.2500
  48.83   295.47 0.2250 0.2250   245.82 0.2500
  50.83   294.08 0.2250 0.2250   243.05 0.2500
  52.92   292.64 0.2250 0.2250   240.15 0.2500
  55.11   291.13 0.2250 0.2250   237.13 0.2500
  57.43   289.56 0.2250 0.2250   233.99 0.2500
  59.90   287.92 0.2250 0.2250   230.71 0.2500
  62.58   286.21 0.2250 0.2250   227.30 0.2500
  65.52   284.43 0.2250 0.2250   223.74 0.2500
  68.84   282.57 0.2250 0.2250   220.01 0.2500
  72.76   280.59 0.2250 0.2250   216.05 0.2500
  77.83   278.37 0.2250 0.2250   211.61 0.2500
  90.00   275.02 0.2250 0.2250   204.91 0.2500
